timeUTC, timeOffset, activityIndex, activityCount
1446144995, -4, 0.00000000, 0.00000000
1446145025, -4, 0.04525483, 0.04233202
1446145055, -4, 0.03200000, 0.03577709
1446145085, -4, 0.05768882, 0.05542563
1446145115, -4, 0.05306600, 0.05306600
1446145145, -4, 0.06400000, 0.05986652
1446145175, -4, 0.73321211, 0.12699607
1446145205, -4, 0.92910278, 0.13290597
1446145235, -4, 0.61781549, 0.13576449
1446145265, -4, 0.85566348, 0.15512575
1446145295, -4, 0.73947006, 0.14923806
1446145325, -4, 0.66722113, 0.16238226
1446145355, -4, 0.48477623, 0.08466404
1446145385, -4, 0.56045693, 0.16238226
1446145415, -4, 0.03919183, 0.03577709
1446145445, -4, 0.03577709, 0.03919183
1446145475, -4, 0.03577709, 0.03919183
1446145505, -4, 0.05986652, 0.03919183
1446145535, -4, 0.04525483, 0.05059644
1446145565, -4, 0.04233202, 0.04233202
1446145595, -4, 0.03919183, 0.04233202
1446145625, -4, 0.75522709, 0.08313844
1446145655, -4, 0.66549230, 0.10733126
1446145685, -4, 0.06400000, 0.04525483
1446145715, -4, 0.76012629, 0.10969047
1446145745, -4, 0.20427433, 0.07673331
1446145775, -4, 0.07155418, 0.04800000
1446145805, -4, 0.18242806, 0.09050967
1446145835, -4, 0.68781394, 0.11426286
1446145865, -4, 0.17600000, 0.07504665
1446145895, -4, 0.03919183, 0.03577709
1446145925, -4, 0.66008484, 0.11085125
1446145955, -4, 0.10244999, 0.06788225
1446145985, -4, 0.61781549, 0.12185237
1446146015, -4, 0.29065442, 0.09600000
1446146045, -4, 0.07332121, 0.04800000
1446146075, -4, 0.16932808, 0.06788225
1446146105, -4, 0.19726124, 0.06788225
1446146135, -4, 0.04233202, 0.04233202
1446146165, -4, 0.03577709, 0.03919183
1446146195, -4, 0.02771281, 0.03577709
1446146225, -4, 0.21286616, 0.07673331
1446146255, -4, 0.07838367, 0.06196773
1446146285, -4, 0.07673331, 0.04800000
1446146315, -4, 0.05306600, 0.04233202
1446146345, -4, 0.05542563, 0.04800000
1446146375, -4, 0.04800000, 0.04233202
1446146405, -4, 0.78497899, 0.10733126
1446146435, -4, 0.47705764, 0.06596969
1446146465, -4, 0.15263027, 0.06974238
1446146495, -4, 0.03919183, 0.03919183
1446146525, -4, 0.07155418, 0.05542563
1446146555, -4, 0.54821891, 0.08616263
1446146585, -4, 0.72213018, 0.09050967
1446146615, -4, 0.03577709, 0.03577709
1446146645, -4, 0.04233202, 0.04525483
1446146675, -4, 0.04800000, 0.04233202
1446146705, -4, 0.01600000, 0.02771281
1446146735, -4, 0.60567981, 0.10119288
1446146765, -4, 0.11973304, 0.06974238
1446146795, -4, 0.33676106, 0.05986652
1446146825, -4, 0.38366652, 0.09732420
1446146855, -4, 0.10369185, 0.08313844
1446146885, -4, 0.03200000, 0.03919183
1446146915, -4, 0.27247018, 0.08616263
1446146945, -4, 0.21406542, 0.05059644
1446146975, -4, 0.20047942, 0.05986652
1446147005, -4, 0.12393547, 0.05542563
1446147035, -4, 0.46921211, 0.11085125
1446147065, -4, 0.10733126, 0.05768882
1446147095, -4, 0.09732420, 0.06596969
1446147125, -4, 0.07332121, 0.05542563
1446147155, -4, 0.52043056, 0.08313844
