timeUTC, timeOffset, red, green, blue, clear, cla, cs
1446145012, -4, 940.80, 1305.60, 1539.20, 1285.40, 1431.063, 0.5759069
1446145072, -4, 965.10, 1305.60, 1573.90, 1315.10, 1437.957, 0.5764468
1446145132, -4, 864.00, 1185.40, 1394.70, 1159.50, 1307.659, 0.5654278
1446145192, -4, 1109.70, 1536.00, 1988.30, 1518.80, 1843.153, 0.6018859
1446145252, -4, 876.10, 1157.20, 1423.40, 1146.50, 1327.62, 0.5672342
1446145312, -4, 534.30, 519.80, 774.00, 571.30, 700.14, 0.4749173
1446145372, -4, 341.40, 339.00, 480.00, 368.80, 435.6029, 0.3889392
1446145432, -4, 283.90, 371.70, 485.20, 356.60, 465.9886, 0.4017303
1446145492, -4, 450.50, 625.80, 830.50, 623.50, 764.4588, 0.4894527
1446145552, -4, 520.70, 743.40, 964.40, 670.70, 959.4847, 0.5244097
1446145612, -4, 503.20, 617.30, 858.30, 601.30, 821.9247, 0.5010276
1446145672, -4, 698.70, 834.40, 1119.90, 851.40, 1036.5, 0.535369
1446145732, -4, 704.80, 877.40, 1169.60, 866.70, 1105.182, 0.5441091
1446145792, -4, 483.00, 511.20, 719.10, 530.50, 671.4866, 0.4678244
1446145852, -4, 450.20, 415.20, 609.20, 454.50, 559.3142, 0.4355673
1446145912, -4, 498.10, 491.00, 710.90, 530.30, 650.7828, 0.4624355
1446145972, -4, 556.50, 615.70, 861.90, 644.30, 791.9738, 0.4951476
1446146032, -4, 265.20, 201.80, 317.60, 230.90, 293.9926, 0.3133703
1446146092, -4, 325.30, 348.00, 490.80, 357.70, 461.069, 0.3997254
1446146152, -4, 289.80, 363.70, 503.20, 364.30, 469.1642, 0.4030114
1446146212, -4, 331.80, 401.30, 548.10, 407.20, 508.6656, 0.4181396
1446146272, -4, 126.50, 131.90, 183.00, 136.50, 171.8165, 0.2166708
1446146332, -4, 74.60, 53.50, 79.60, 62.20, 73.76531, 0.1049993
1446146392, -4, 402.20, 472.10, 641.20, 479.50, 597.8479, 0.4475417
1446146452, -4, 171.40, 178.30, 244.60, 189.40, 224.4642, 0.2630285
1446146512, -4, 194.20, 187.70, 264.10, 193.40, 252.8161, 0.2848874
1446146572, -4, 276.70, 324.20, 434.20, 333.20, 400.7063, 0.3729559
1446146632, -4, 120.20, 79.70, 122.20, 95.30, 112.9258, 0.1540709
1446146692, -4, 185.00, 154.70, 228.70, 170.60, 213.4404, 0.2539763
1446146752, -4, 528.50, 601.50, 821.70, 628.60, 751.4035, 0.4866461
1446146812, -4, 534.90, 610.90, 825.40, 637.00, 755.6326, 0.4875629
1446146872, -4, 267.50, 264.20, 378.70, 291.00, 340.3066, 0.3414653
1446146932, -4, 131.80, 130.60, 181.50, 148.10, 158.1475, 0.2032395
1446146992, -4, 484.60, 622.30, 834.60, 643.20, 753.3322, 0.4870651
1446147052, -4, 862.00, 1151.50, 1491.00, 1144.40, 1384.235, 0.5721172
1446147112, -4, 679.80, 911.80, 1220.10, 924.30, 1112.499, 0.5449889
1446147172, -4, 113.60, 110.00, 153.00, 116.10, 143.4426, 0.1880761
1446147232, -4, 193.50, 218.70, 314.20, 219.30, 298.0732, 0.316003
1446147292, -4, 550.90, 676.40, 906.20, 705.60, 817.6093, 0.5001999
1446147352, -4, 1060.70, 1361.80, 1794.80, 1447.40, 1575.72, 0.586378
1446147412, -4, 425.10, 404.00, 585.10, 437.80, 538.2819, 0.4285786
1446147472, -4, 273.80, 196.80, 294.30, 225.00, 276.7052, 0.3018495
1446147532, -4, 216.50, 134.70, 217.40, 166.50, 198.8224, 0.2414581
1446147592, -4, 170.40, 104.20, 167.10, 129.10, 153.2861, 0.1983104
1446147652, -4, 299.10, 252.00, 364.90, 278.80, 338.9344, 0.3406861
1446147712, -4, 148.80, 91.60, 148.50, 113.40, 136.0714, 0.1801839
1446147772, -4, 48.00, 34.90, 57.20, 41.60, 51.74974, 0.0746536
1446147832, -4, 310.10, 367.60, 494.20, 371.00, 462.4887, 0.4003065
1446147892, -4, 182.00, 193.70, 273.30, 200.20, 255.8067, 0.2870806
1446147952, -4, 371.40, 474.90, 649.90, 489.30, 589.1606, 0.4449309
1446148012, -4, 206.90, 253.80, 346.50, 261.70, 316.2142, 0.3273272
1446148072, -4, 104.50, 110.40, 163.60, 116.80, 150.4002, 0.1953454
1446148132, -4, 171.20, 206.70, 301.70, 211.50, 278.2897, 0.3029309
1446148192, -4, 186.70, 204.20, 300.40, 213.60, 276.946, 0.3020142
1446148252, -4, 117.60, 133.30, 196.90, 138.50, 181.3646, 0.2256917
1446148312, -4, 34.30, 18.10, 33.80, 24.40, 30.24977, 0.04336536
1446148372, -4, 284.50, 316.10, 426.40, 333.30, 388.477, 0.3669949
1446148432, -4, 296.90, 350.50, 478.80, 362.50, 438.8818, 0.3903676
1446148492, -4, 292.60, 345.50, 476.70, 359.10, 435.0976, 0.388718
1446148552, -4, 114.20, 116.30, 180.40, 125.60, 164.3322, 0.2093938
1446148612, -4, 109.90, 112.90, 172.50, 121.10, 157.7065, 0.2027957
1446148672, -4, 114.50, 59.40, 99.60, 78.60, 90.83214, 0.127163
1446148732, -4, 583.50, 709.90, 905.30, 720.20, 838.9253, 0.5042266
1446148792, -4, 741.70, 918.10, 1207.60, 948.60, 1097.067, 0.5431221
1446148852, -4, 229.10, 179.20, 274.00, 206.50, 250.1911, 0.2829453
1446148912, -4, 314.40, 244.70, 364.50, 279.60, 335.641, 0.3388036
1446148972, -4, 183.70, 114.40, 185.60, 141.40, 169.7196, 0.2146505
1446149032, -4, 146.40, 165.70, 244.10, 171.50, 225.614, 0.2639541
1446149092, -4, 216.70, 286.30, 380.90, 283.10, 355.913, 0.3501155
1446149152, -4, 303.40, 363.00, 481.20, 362.70, 453.524, 0.3966021
1446149212, -4, 321.50, 392.30, 525.10, 394.90, 489.899, 0.4111338
1446149272, -4, 80.70, 85.50, 137.00, 91.70, 124.6879, 0.1675985
1446149332, -4, 55.40, 47.30, 78.00, 54.10, 70.37399, 0.1004514
1446149392, -4, 131.20, 117.70, 166.90, 128.30, 154.7216, 0.1997744
1446149452, -4, 91.70, 117.00, 151.80, 118.40, 139.7705, 0.1841693
1446149512, -4, 39.20, 38.80, 51.20, 40.10, 48.69373, 0.07029434
1446149572, -4, 114.80, 122.00, 162.20, 124.30, 153.8294, 0.1988653
1446149632, -4, 74.10, 71.20, 111.60, 77.90, 101.7585, 0.1407189
1446149692, -4, 97.30, 107.40, 158.30, 111.10, 147.0482, 0.1918648
1446149752, -4, 260.70, 285.70, 361.40, 291.40, 340.3934, 0.3415144
1446149812, -4, 544.90, 595.50, 760.00, 619.40, 703.1213, 0.4756321
1446149872, -4, 404.20, 381.80, 511.00, 407.50, 476.9697, 0.4061179
1446149932, -4, 250.70, 211.10, 299.40, 233.50, 278.1534, 0.3028381
1446149992, -4, 178.10, 130.60, 188.60, 149.90, 175.7217, 0.2203955
1446150052, -4, 190.90, 165.60, 228.00, 180.60, 212.9736, 0.2535858
1446150112, -4, 73.00, 69.80, 91.30, 72.90, 86.70664, 0.1219164
1446150172, -4, 83.50, 76.80, 101.90, 81.20, 96.56116, 0.1343321
1446150232, -4, 113.40, 126.50, 166.80, 127.10, 158.5833, 0.2036774
